CODICESCUOLA,SITOWEBSCUOLA,SITOWEBSCUOLA_FIX
PAPC09000Q,www.umbertoprimo.it,https://www.umbertoprimo.it
CSTD01401E,www.iispoloamantea.gov.it,https://www.iispoloamantea.edu.it
VIPC04000X,www.liceobrocchi.vi.it,https://liceobrocchi.vi.it/
FGTD21001V,www.blaisepascal.it,https://www.blaisepascal.it
SATD061019,http//www.genovesidavinci.edu.it/,https://www.genovesidavinci.edu.it/
RCPS04000R,www.liceozaleuco.it,https://www.liceozaleuco.it
LCPS00201G,www.istitutobachelet.edu.it,https://www.istitutobachelet.edu.it
RMPC09000T,www.liceovivona.it,https://www.liceovivona.edu.it/
AVSD013019,www.iissgrottaminarda.gov.it,https://www.iissgrottaminarda.edu.it
LERH03000N,www.itdeleddalecce.edu.it,https://www.itdeleddalecce.edu.it
MITD03701C,www.iisdellafra.gov.it,https://www.iisdellafra.edu.it
PATA00801C,IISBASILEDALEO.GOV.IT,https://iisbasiledaleo.edu.it/
CNRC01401X,www.denina.it,https://www.denina.it
ANTD00401V,www.istvas.it,https://www.istvas.it
BARI14000T,www.icspinazzola.gov.it,https://www.icspinazzola.edu.it
LTPS05000B,www.liceomajoranalatina.it,https://www.liceomajoranalatina.edu.it/
RNTF010004,www.itigrimini.it,https://www.itigrimini.it
ANPC060007,www.liceoclassicojesi.gov.it/,https://liceoclassicojesi.edu.it/
NURI01401V,www.iisvoltanuoro.gov.it,https://www.iisvoltanuoro.edu.it
FEPC01000E,www.liceocevolani.it,https://www.liceocevolani.it
PGTD03401C,www.iisgubbio.gov.it,https://www.iisgubbio.edu.it
TORI06902A,www.ipsiabirago.it,https://ipsiabirago.it/
FGPS004012,www.fazzinivieste.gov.it,https://www.fazzinivieste.edu.it
GORM01101X,http//www.isispertini.gov.it,https://www.isispertini.edu.it
RETD00301X,www.istitutogobetti.it,https://www.istitutogobetti.it
PNRI00601V,www.isissacilebrugnera.gov.it,https://www.isissacilebrugnera.edu.it
SORI013018,www.saracenoromegialli.gov.it,https://www.saracenoromegialli.edu.it
LTTD01601R,www.ipasanbenedetto.gov.it,https://www.ipasanbenedetto.edu.it
PDTF022017,www.istitutoruzza.gov.it,https://www.istitutoruzza.edu.it
BSPS01601D,www.primolevi.it,https://www.primolevi.it/it
FOTF03001E,www.mcurie.gov.it,https://www.mcurie.edu.it
VTRC006014,www.iiscolasanti.it,https://iiscolasanti.edu.it/
TPRI028011,http//www.iscalvinoamico.gov.it/,https://www.iscalvinoamico.edu.it/
KRRI040006,www.ipsiakr.gov.it,https://ipsiakr.edu.it/
AGRI02601X,www.iiss-archimede.gov.it,https://www.iiss-archimede.edu.it
RGRI01301E,www.istitutoferraris.gov.it,https://www.istitutoferraris.edu.it
MEPC060006,www.liceopatti.it,https://www.liceopatti.it
CEPC110001,www.liceogiannonecaserta.gov.it,https://www.liceogiannonecaserta.edu.it
RARC060009,www.persolinostrocchi.it,https://www.persolinostrocchi.it
COPS02000A,www.galileierba.gov.it,https://galileierba.edu.it/
UDPS01401L,www.isisfermosolari.it,https://www.isisfermosolari.it
MNPS011011,www.fermimn.gov.it,https://www.fermimn.edu.it
FIPS031013,http//www.iisscalamandrei.edu.it/,https://www.iisscalamandrei.edu.it/
TOTD090008,https//www.itcsommeiller.edu.it/index.php,https://www.itcsommeiller.edu.it/
BGRI017023,www.ettoremajorana.gov.it,https://www.ettoremajorana.edu.it
BARI07102P,www.ipsiarchimede.gov.it,https://www.ipsiarchimede.edu.it
VCTF019018,www.itis.it,https://www.itis.it
VAPM027011,www.liceocrespi.gov.it,https://www.liceocrespi.edu.it
CSPS01401P,www.iispoloamantea.gov.it,https://www.iispoloamantea.edu.it
CHPM014019,http//www.liceopudente.gov.it/,https://liceopudente.edu.it/
SSPS017011,http//www.iisfalconeborsellino.it,https://www.iisfalconeborsellino.it
LCTD003017,www.marcopolocolico.gov.it,https://www.marcopolocolico.edu.it
LEPS23000N,www.itdeleddalecce.edu.it,https://www.itdeleddalecce.edu.it
CNTF01401D,http//www.denina.it,https://www.denina.it
PZTF02203V,www.itigeopz.gov.it,https://www.itigeopz.edu.it
CBPC02601V,www.itaspertini.gov.it,https://www.itaspertini.edu.it
CESD042016,CEIS042009@ISTRUZIONE.IT,https://www.CEIS042009@ISTRUZIONE.IT
BGRC033017,www.zenale.it,https://www.zenale.edu.it/
ROPS001011,www.liceoadria.gov.it,https://www.liceoadria.edu.it
MOTF030004,itivinci.mo.it,https://www.itivinci.mo.it
VITF05000Q,www.fermibassano.gov.it,https://www.fermibassano.edu.it
BSTF01601G,www.primolevi-bs.it,https://www.primolevi-bs.edu.it/
FEPC020005,www.liceoariosto.it,https://www.liceoariosto.it
LEPS220003,www.itdeleddalecce.edu.it,https://www.itdeleddalecce.edu.it
NATD06701T,www.itctorrente.it,https://www.itctorrente.it
PRRH006039,WWW.ALBERGHIEROSALSOMAGGIORE.IT,https://www.alberghierosalsomaggiore.it/
SAPS04000B,www.liceosensale.edu.it,https://www.liceosensale.edu.it
VETF01301E,www.isisleonardodavinci.gov.it,https://www.isisleonardodavinci.edu.it
BATF079015,http//www.iissvoltadegemmis.gov.it,https://www.iissvoltadegemmis.edu.it
RMPC06301E,www.liceoseneca.it,https://www.liceoseneca.edu.it/
CSTF01601C,iisbisignano.gov.it,https://www.iisbisignano.edu.it
TOPS069014,http//www.liceogalfer.it,https://www.liceogalfer.it
CTTD160007,www.iterusso.gov.it,https://www.iterusso.edu.it
AQTA01701Q,www.agrarioavezzano.edu.it,https://agrarioavezzano.edu.it/
FGTD044018,www.fianileccisotti.it,https://www.fianileccisotti.it
GORC01101Q,http//www.isispertini.gov.it,https://www.isispertini.edu.it
LOTF004013,www.iisvolta.gov.it,https://www.iisvolta.edu.it
MNRA013016,www.isstrozzi.gov.it,https://www.isstrozzi.edu.it
MITF03801E,www.iislagrange.gov.it,https://www.iislagrange.edu.it
CBRC02601E,www.professionalevcuococb.it,https://www.professionalevcuococb.it
PDRI02201A,www.istitutoruzza.gov.it,https://www.istitutoruzza.edu.it
PAPC030004,www.liceomelipalermo.it,https://www.liceomeli.edu.it/
COPS030001,www.liceogiovio.edu.it,https://web.liceogiovio.edu.it/_sito2020/
NAPS02201C,www.isnitti.gov.it,https://www.isnitti.edu.it
CERI04401L,www.rainulfodrengot.edu.it,https://www.rainulfodrengot.edu.it
GRRC00602C,www.isitplorena.eu,https://www.isitplorena.eu
BAPS39000B,www.icspinazzola.gov.it,https://www.icspinazzola.edu.it
BNRC026019,www.ipssctamoro.gov.it,https://ipssctamoro.edu.it/bnis02600a
PSTH003013,www.polotrefano.gov.it,https://www.polotrefano.edu.it
NATD130003,www.itcgpareto.com,https://www.itcgpareto.com
VERC012015,isisluzzatto.gov.it,https://www.isisluzzatto.edu.it
MEPS02901A,www.maurolicomessina.gov.it,https://www.maurolicomessina.edu.it
RMPC07000L,liceodantealighieri.edu.it,https://www.liceodantealighieri.edu.it
NUTF012014,http//www.istitutosuperioresorgono.gov.it,https://www.istitutosuperioresorgono.edu.it
GETD013016,www.iissliceti.it,http://liceti.edu.it/
AVTD01301P,www.iissgrottaminarda.gov.it,https://www.iissgrottaminarda.edu.it
CTSL01000A,www.liceoartisticocatania.gov.it,https://www.liceoartisticocatania.edu.it
AQRA007019,www.iisdavincicolecchiaq.gov.it,https://www.iisdavincicolecchiaq.edu.it
VTPS00601G,www.iiscolasanti.it,https://iiscolasanti.edu.it/
BGTD03301E,www.zenale.it,https://www.zenale.edu.it/
TOTD038018,http//www.buniva.edu.it,https://www.buniva.edu.it
MIRI09101E,www.einaudimagenta.gov.it,https://www.einaudimagenta.edu.it
CNPS07000P,www.iliceimondovi.gov.it,https://iliceimondovi.edu.it/
NUPS090006,http//www.liceoferminuoro.gov.it/,https://www.liceoferminuoro.edu.it/
CEPM02000V,www.liceojommelli.it,https://www.liceojommelli.it
NARH122024,www.ipssardegennaro.edu.it,https://www.ipssardegennaro.edu.it
TVTD00901L,www.iissfanno.gov.it,https://www.iissfanno.edu.it
AQRA017032,www.agrarioavezzano.edu.it,https://agrarioavezzano.edu.it/
POTL002019,www.istitutogk.it,https://istitutogk.it/
BOTD00701X,www.archimede.gov.it,https://www.archimede.edu.it
SAPS020006,www.liceodaprocida.gov.it,https://www.liceodaprocida.edu.it
CNRC00301D,www.grandiscuneo.it,https://www.grandiscuneo.edu.it/
KRTD07000L,www.istitutonauticokr.gov.it,https://istitutonauticokr.edu.it/
RMPS06401D,www.liceoblaisepascal.it,https://www.liceoblaisepascal.it
VITF06000A,www.chilesotti.gov.it,https://www.chilesotti.edu.it
RCTF01301G,www.iisseveri.eu,https://www.iisseveri.eu
BATD02601A,www.COLAMONICOCHIARULLI.IT,https://www.COLAMONICOCHIARULLI.IT
BSRC037013,www.falconeiis.gov.it,https://falconeiis.edu.it/
RAPS01000Q,www.liceoscientificoravenna.edu.it,https://www.liceoscientificoravenna.edu.it
SRPS02901Q,www.istitutoeinaudi.gov.it,https://www.istitutoeinaudi.edu.it
SATF077015,www.liceoartisticosabatinimenna.gov.it,https://www.liceoartisticosabatinimenna.edu.it
BNPC002015,www.iistelese.it,https://www.iistelese.edu.it/
TOTF04000D,www.itispininfarina.it,https://www.itispininfarina.it
PAPC04000P,www.liceogaribaldi.it,https://www.liceogaribaldi.it
SSTD01701R,http//www.iisfalconeborsellino.it,https://www.iisfalconeborsellino.it
VEPC02301X,istitutobrunofranchetti.edu.it,http://istitutobrunofranchetti.edu.it/lbf/
NAPC06801P,www.istitutosuperioregentileschi.it,https://www.istitutosuperioregentileschi.it
FITN02901R,http//www.sassettiperuzzi.it/,https://www.sassettiperuzzi.it/
VASL040006,artisticovarese.edu.it,https://www.artisticovarese.edu.it
PNTF00601Q,www.isissacilebrugnera.gov.it,https://www.isissacilebrugnera.edu.it
NARH07000E,ipsar.net,https://www.ipsar.net
NATF091011,www.isistassinari.gov.it,https://www.isistassinari.edu.it
VAPC02701R,www.liceocrespi.gov.it,https://www.liceocrespi.edu.it
FOTD010002,www.itematteucci.gov.it,https://www.itematteucci.edu.it
RMPC080007,www.liceoeqvisconti.it,https://www.liceoeqvisconti.it
CZPS00101C,www.iisfermi.gov.it,https://www.iisfermi.edu.it
CZPC030008,www.liceofiorentino.edu.it,https://www.liceofiorentino.edu.it
CLPS01901X,www.LICEOSCIENTIFICOVOLTA.GOV.it,https://www.LICEOSCIENTIFICOVOLTA.edu.it
CTSL020001,www.liceoartisticocatania.gov.it,https://www.liceoartisticocatania.edu.it
RMRC10201G,www.iispertinifalcone.gov.it,https://www.iispertinifalcone.edu.it
PGRI03401T,www.iisgubbio.gov.it,https://www.iisgubbio.edu.it
FGTD00401T,www.fazzinivieste.gov.it,https://www.fazzinivieste.edu.it
GRTD003028,www.isufol.net,https://www.isufol.net
BIPS01000N,www.liceoavogadrobiella.gov.it,https://www.liceoavogadrobiella.edu.it
LEPC01000G,www.liceocapece.gov.it,https://liceocapece.edu.it/
NAPC010002,www.liceogenovesi.gov.it,https://www.liceogenovesi.edu.it
PRRH006028,WWW.ALBERGHIEROSALSOMAGGIORE.IT,https://www.alberghierosalsomaggiore.it/
VASL01000A,www.artisticobusto.gov.it,https://www.artisticobusto.edu.it
ALTD00601X,www.vincialessandria.it,https://www.vincialessandria.it
AQSD01201N,www.torloniabellisario.it,https://www.torloniabellisario.it
RMPS06301N,www.liceoseneca.it,https://www.liceoseneca.edu.it/
TPTD02801G,http//www.iscalvinoamico.gov.it/,https://www.iscalvinoamico.edu.it/
POTD00201V,www.istitutogk.it,https://istitutogk.it/
CTTB01000A,www.itaerferrarin.gov.it/,https://www.itaerferrarin.edu.it/pasw4/
RCSL030003,www.liceopretifrangipane.gov.it,https://www.liceopretifrangipane.edu.it
RCTD013019,www.iisseveri.eu,https://www.iisseveri.eu
AGRI026021,www.iiss-archimede.gov.it,https://www.iiss-archimede.edu.it
MITD091015,www.einaudimagenta.gov.it,https://www.einaudimagenta.edu.it
LEPS00201R,www.trinchesemartano.eu,https://www.trinchesemartano.edu.it/
BIPC00101R,www.liceosella.it,https://www.liceosella.it
TRRI002012,www.iisacp.gov.it,https://www.iisacp.edu.it
ORTF02000D,www.itisothoca.edu.it,https://www.itisothoca.edu.it
CTTD054014,www.itaerferrarin.gov.it/,https://www.itaerferrarin.edu.it/pasw4/
RAPS030001,liceolugo.edu.it,https://www.liceolugo.edu.it
AVPS024019,www.isissdeluca.gov.it,https://www.isissdeluca.edu.it
PNPS010008,www.liceogrigoletti.gov.it,https://www.liceogrigoletti.edu.it
RMTF03301X,www.istitutocarlourbani.gov.it,https://www.istitutocarlourbani.edu.it/it/
ARTD022018,www.liceorediarezzo.edu.it,https://www.liceorediarezzo.edu.it
RGTF01301B,www.istitutoferraris.gov.it,https://www.istitutoferraris.edu.it
TRRA010008,www.istfabro.gov.it,https://www.istfabro.edu.it
MERI03701E,www.liceoluciopiccolo.edu.it,https://www.liceoluciopiccolo.edu.it
BNPS002018,www.iistelese.it,https://www.iistelese.edu.it/
BNTD02701C,www.palmieriramponepolo.gov.it,https://www.palmieriramponepolo.edu.it
KRTL009018,KRIS00900G@ISTRUZIONE.IT,https://www.KRIS00900G@ISTRUZIONE.IT
VCRI01901B,www.ipsiavercelli.it,https://www.iislombardivc.edu.it/
VETF022019,WWW.CESTARI-RIGHI.GOV.IT,https://www.CESTARI-RIGHI.edu.IT
CNPM02101G,www.istitutosoleri.it,https://www.istitutosoleri.it
CBRI026017,www.ipiacb.it,https://ipiacb.it/
FIRC02903N,http//www.sassettiperuzzi.it/,https://www.sassettiperuzzi.it/
SAPC011019,www.iispisacanesapri.gov.it,https://www.iispisacanesapri.edu.it
SATF04601D,www.iisgalilei.it,https://www.iisgalilei.it
ARRI00801B,www.isisvaldarno.gov.it,https://www.isisvaldarno.edu.it
RMRC03301A,www.istitutocarlourbani.gov.it,https://www.istitutocarlourbani.edu.it/it/
VRRI01001T,www.giorgivr.it,https://giorgivr.it/
POPS002013,www.istitutogk.it,https://istitutogk.it/
PVTF01000B,www.cardano.pv.it,https://www.itiscardanopv.edu.it/
BSTD03401V,www.falconeiis.edu.it,https://falconeiis.edu.it/
ENPS01000R,www.liceoscientificofarinato.it,https://liceoscientificofarinato.edu.it/
FOTD02000L,http//www.itcserra.gov.it,https://www.itcserra.edu.it
TOPS04000B,http//www.liceogalfer.it,https://www.liceogalfer.it
RMPC101014,www.iisguglielmotti.gov.it,https://www.iisguglielmotti.edu.it
ANTD002017,www.cambiserrani.it,https://www.cambiserrani.it
BGTF032011,www.nattabg.gov.it,https://www.nattabg.edu.it
NOTA00301B,www.bonfantini.it,https://www.bonfantini.it
NAPS32000A,www.liceosegre.edu.it,https://www.liceosegre.edu.it
GRTF00301D,www.isisamiataovest.it,https://www.isisamiataovest.it
VITF03000E,www.depretto.gov.it,https://www.depretto.edu.it
NATF010007,www.itisvoltanapoli.gov.it,https://www.itisvoltanapoli.edu.it
CEPM07000X,www.liceodongnocchi.it,https://www.liceodongnocchi.it
TVRA00803L,http//www.cerletti.gov.it,https://cerletti.edu.it/
LCTL013018,http//www.iismedardorosso.gov.it/,https://www.iismedardorosso.edu.it/
VARI04000E,www.ipsiasar.it,https://www.ipsiasar.it
SAPS06000L,www.liceoseverisalerno.it,https://www.liceoseverisalerno.it
AQTL007012,www.iisdavincicolecchiaq.gov.it,https://www.iisdavincicolecchiaq.edu.it
CSPS01601A,iisbisignano.gov.it,https://www.iisbisignano.edu.it
FIRC00201G,www.isisenriques.gov.it,https://www.isisenriques.edu.it
TOTF06601P,www.gmca.gov.it,https://gmca.edu.it/
BGTF00401R,www.isarchimede.edu.it,https://www.isarchimede.edu.it
AQPS018016,www.iisbafile.gov.it,https://www.iisbafile.edu.it
SSTA01601E,www.itozieri.gov.it,https://www.itozieri.edu.it
RITD090006,www.istitutoonnicomprensivoborgorose.it,https://www.istitutoonnicomprensivoborgorose.it
SSPS024025,http//www.iisantoniosegni.gov.it/,https://www.iisantoniosegni.edu.it/
GETF01101R,www.nattadeambrosis.gov.it,https://www.nattadeambrosis.edu.it
ORTF02001E,www.itisothoca.edu.it,https://www.itisothoca.edu.it
TARA02601R,http//www.einaudimanduria.gov.it/,https://www.einaudimanduria.edu.it/
MIRH038016,IISLAGRANGE.GOV.IT,https://www.IISLAGRANGE.edu.IT
AGPS030009,www.liceoscientificoleonardo.it,https://liceoscientificoleonardo.it/
CHPS02101B,www.scientificogalileilanciano.edu.it,https://www.scientificogalileilanciano.edu.it
PVTD009023,www.istitutomaserati.edu.it,https://www.istitutomaserati.edu.it
VERH022011,WWW.CESTARI-RIGHI.EDU.IT,https://www.CESTARI-RIGHI.EDU.IT
BITF01000Q,www.itis.biella.it,https://www.itis.biella.it
TOSL038019,www.buniva.edu.it,https://www.buniva.edu.it
BNRI00201D,www.iistelese.it,https://www.iistelese.edu.it/
TOTF10000X,www.itismajo.it,https://www.itismajo.it
CAPS120008,www.liceopitagoraselargius.edu.it,https://liceopitagoraselargius.edu.it/
BRTD01000T,www.itesgiovannicalo.gov.it,https://www.itesgiovannicalo.edu.it
CBPS01000B,www.liceoscientificoromita.cb.it,https://romita.edu.it/
PNPS090005,www.itiskennedy.gov.it,http://itstkennedy.edu.it/
RMTA06001G,www.agrariosereni.it,https://www.agrariosereni.edu.it/
ARTD008012,www.isisvaldarno.gov.it,https://www.isisvaldarno.edu.it
RMTD093019,www.iismargheritahack.gov.it,https://www.iismargheritahack.edu.it
VETD01201C,isisluzzatto.gov.it,https://www.isisluzzatto.edu.it
CTSL01002C,www.liceoartisticocatania.gov.it,https://www.liceoartisticocatania.edu.it
FIPS02601G,www.giottoulivi.gov.it,https://www.giottoulivi.edu.it
RMPS102013,www.liceofrancescodassisi.gov.it,https://www.liceofrancescodassisi.edu.it
NORA00301G,www.bonfantini.it,https://www.bonfantini.it
BARH02901Q,www.iissfiore.gov.it,https://www.iissfiore.edu.it
NAPS32001B,www.liceosegre.edu.it,https://www.liceosegre.edu.it
VRRH03000E,www.carnacina.gov.it,https://www.carnacina.edu.it
MISL091016,www.einaudimagenta.gov.it,https://www.einaudimagenta.edu.it
PSTD018013,www.iisraffaello.gov.it,https://www.iisraffaello.edu.it
ANPS01401N,www.istitutovolterraelia.it,https://www.istitutovolterraelia.it
TVRA00802G,http//www.cerletti.edu.it,https://cerletti.edu.it/
VITF010009,www.galileiarzignano.gov.it,http://www.galileiarzignano.edu.it/wsite/
LTTF09000X,www.itisfondi.it,https://www.itisfondi.it
MSTF018015,www.iismeuccimassa.it,https://www.iismeuccimassa.it
CSPC029019,www.iisgaribaldialfano.gov.it,https://www.iisgaribaldialfano.edu.it
GRPS00301B,www.isisamiataovest.it,https://www.isisamiataovest.it
BOPS007014,www.archimede.edu.it,https://www.archimede.edu.it
CAPS013019,www.liceoasproni.it,https://www.liceoasproni.it
SSTD016033,www.itozieri.gov.it,https://www.itozieri.edu.it
FRTF020002,www.itiscassino.edu.it,https://www.itiscassino.edu.it
VCPS021016,www.iisavogadrovc.gov.it,https://iisavogadrovc.edu.it/
SIPM00101L,www.liceipoliziani.com,https://www.liceipoliziani.com
CRPC013018,www.racchettidavinci.edu.it,https://www.racchettidavinci.edu.it
TETD014017,http//www.iispascalcomiforti.gov.it,https://www.iispascalcomiforti.edu.it
TOPS01701B,www.ferrarisusa.gov.it,https://ferrarisusa.edu.it/
TRPC00201N,www.iisacp.gov.it,https://www.iisacp.edu.it
CNSD021011,www.istitutosoleri.it,https://www.istitutosoleri.it
RETN014018,www.iiscastelnovonemonti.gov.it,https://iiscastelnovonemonti.edu.it/
BATH040009,http//www.iissvoltadegemmis.gov.it,https://www.iissvoltadegemmis.edu.it
CERI02301G,www.isissmajorana.gov.it,https://www.isissmajorana.edu.it
BOTF01901C,www.iav.it,http://avbo.it
RMPC48000P,WWW.LICEORUSSELLROMA.IT,https://www.LICEORUSSELLROMA.IT
LETF03701T,www.iissmedi.it,https://iissmedi.it/
RMPM03301V,www.iisviaasmara28.it,https://www.iisviaasmara28.it
SRTL029012,http//www.istitutoraelinoto.gov.it/,https://www.istitutoraelinoto.edu.it/
SARH07701R,www.ipsseoapittoni.gov.it,https://www.ipsseoapittoni.edu.it
