school_id,page_url,page_load_time_ms,page_width,page_height,NDOM_nodes,NDOM_height,page_template,page_menu_or,page_ungrouped_multim,metric,task1,task2,task3,task4,task5,task6,task7,task8
NAPS00601E,https://www.isisrosariolivatino.edu.it,196,1604,848,1,0,1.0,1.0,0.0,4.2,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
RNPS02000L,https://www.einsteinrimini.edu.it/,580,1587,2310,209,7,4.0,3.0,5.0,4.5,3.72,1.48,1.11,2.38,1.53,6.5,3.56,2.73
CSTF06402V,https://www.itisrossano.it,3603,1587,3607,503,8,9.0,3.0,18.0,3.4,0.9,2.7,1.2,7.0,1.0,7.0,0.96,0.9
MOPS050007,https://www.liceowiligelmo.edu.it,1850,1587,4413,246,7,8.0,1.0,20.0,3.0,3.9,3.25,3.89,7.53,3.25,3.51,6.5,9.2
PTRH01000C,https://www.alberghieromontecatini.edu.it,925,1587,2394,194,7,6.0,1.0,0.0,4.0,2.72,2.1,6.5,6.5,2.1,5.43,4.95,6.5
PGTF003013,https://salvatorellimoneta.edu.it/,849,1587,3764,405,7,5.0,1.0,4.0,4.2,2.91,2.58,2.92,3.15,6.5,2.9,3.77,2.58
REPS016016,https://www.pascal.edu.it,1274,1587,3005,207,6,2.0,3.0,25.0,3.4,6.5,1.78,2.41,2.48,2.72,6.5,3.14,2.84
CSPS18000D,https://www.ilpitagora.edu.it,2519,1587,4976,505,11,9.0,1.0,0.0,4.0,4.18,3.16,3.92,3.4,3.18,7.0,4.63,3.16
VIPC023017,https://www.liceocorradini.edu.it,1603,1587,4958,223,7,8.0,1.0,16.0,3.5,3.81,3.25,3.8,4.16,6.5,6.5,6.5,3.25
PRTD02000E,https://www.itemelloni.edu.it,4582,1587,3675,404,5,9.0,3.0,20.0,3.5,3.62,6.5,6.5,0.99,0.91,6.5,6.5,6.5
NATN01301B,https://www.donmilanigragnano.edu.it,1889,1587,3827,477,7,7.0,1.0,0.0,3.6,3.12,2.28,3.12,3.61,6.5,5.26,5.05,2.28
